hour_of_day,hour_label,observed_date_hours,avg_active_users,avg_active_products,avg_interested_users,avg_cart_users,avg_buyers,avg_browse_count,avg_cart_add_count,avg_cart_remove_count,avg_purchase_count,avg_follow_count,avg_click_count,avg_total_action_count,total_action_count,total_purchase_count,avg_interest_to_cart_rate,avg_cart_conversion_rate,avg_cart_abandonment_rate,avg_user_conversion_rate,action_share_pct,purchase_share_pct
0,00:00-01:00,75,1018.72,1622.17,986.96,196.33,41.63,10826.65,403.47,159.71,46.72,60.03,17852.64,29349.21,2201191,3504,18.1847,10.6313,89.3687,3.1105,4.3500,7.2619
1,01:00-02:00,75,432.79,956.72,419.17,68.41,7.11,4548.47,135.92,62.53,8.19,27.05,7438.12,12220.28,916521,614,16.1101,5.7486,94.2514,1.4804,1.8112,1.2725
2,02:00-03:00,75,225.76,583.40,218.79,34.65,3.32,2350.71,68.60,32.21,3.85,14.61,3833.15,6303.13,472735,289,15.5064,5.3641,94.6359,1.3059,0.9342,0.5989
3,03:00-04:00,75,154.39,426.92,149.96,23.11,2.04,1629.23,45.53,19.76,2.31,10.57,2670.93,4378.33,328375,173,15.2972,4.1327,95.8673,1.1472,0.6489,0.3585
4,04:00-05:00,75,138.24,370.32,134.88,20.37,1.75,1410.67,39.53,15.80,1.89,9.17,2310.63,3787.69,284077,142,15.1382,5.2059,94.7941,1.1585,0.5614,0.2943
5,05:00-06:00,75,201.72,464.31,196.99,28.36,2.21,1886.40,51.00,22.19,2.55,11.27,3126.51,5099.91,382493,191,14.2135,4.1073,95.8927,0.9207,0.7559,0.3958
6,06:00-07:00,75,527.40,877.43,514.79,70.01,6.47,4479.41,123.63,60.65,7.12,27.07,7407.24,12105.12,907884,534,13.1247,5.0170,94.9830,1.0912,1.7942,1.1067
7,07:00-08:00,75,922.71,1269.91,899.04,116.33,12.59,7512.32,201.07,93.51,13.69,44.21,12055.63,19920.43,1494032,1027,12.7270,5.8447,94.1553,1.2554,2.9525,2.1284
8,08:00-09:00,75,1258.44,1574.07,1219.07,161.92,20.53,9509.09,289.01,131.65,22.96,56.21,15268.97,25277.91,1895843,1722,13.1674,7.6021,92.3979,1.5678,3.7466,3.5688
9,09:00-10:00,75,1578.83,1842.35,1525.51,207.84,29.72,11356.96,392.91,176.33,33.71,63.25,18514.52,30537.68,2290326,2528,13.3794,8.2140,91.7860,1.7640,4.5262,5.2392
10,10:00-11:00,75,1728.41,1981.52,1667.21,249.56,40.83,12794.57,475.64,200.57,46.09,72.44,20827.96,34417.28,2581296,3457,14.5205,9.7098,90.2902,2.2564,5.1012,7.1645
11,11:00-12:00,75,1669.20,1987.43,1614.43,228.75,34.01,12419.60,430.00,175.52,38.71,70.59,20300.67,33435.08,2507631,2903,13.8241,8.8789,91.1211,2.0055,4.9556,6.0163
12,12:00-13:00,75,1622.32,1909.47,1574.67,212.52,33.07,12507.25,391.44,167.45,38.03,69.05,20039.05,33212.28,2490921,2852,13.1410,9.1994,90.8006,1.9861,4.9226,5.9106
13,13:00-14:00,75,1569.61,1919.25,1520.31,207.57,31.48,12216.63,393.69,170.96,36.80,70.91,19707.87,32596.85,2444764,2760,13.3255,9.1948,90.8052,1.9985,4.8314,5.7200
14,14:00-15:00,75,1547.57,1936.97,1497.37,205.32,30.44,11832.01,399.28,170.07,35.04,68.84,19352.17,31857.41,2389306,2628,13.5015,8.4912,91.5088,1.9217,4.7218,5.4464
15,15:00-16:00,75,1578.24,1976.19,1527.97,205.36,30.92,12129.67,398.60,173.87,36.11,70.23,19733.53,32542.00,2440650,2708,13.2836,8.6856,91.3144,1.9238,4.8233,5.6122
16,16:00-17:00,75,1604.83,2003.88,1552.41,207.73,29.29,12385.48,396.37,173.83,33.95,73.27,20195.00,33257.89,2494342,2546,13.4225,8.0931,91.9069,1.8187,4.9294,5.2765
17,17:00-18:00,75,1476.21,1894.73,1431.61,183.65,29.51,11466.96,344.72,149.01,33.65,65.37,18535.79,30595.51,2294663,2524,12.9236,9.6483,90.3517,2.0118,4.5348,5.2309
18,18:00-19:00,75,1383.03,1822.29,1342.13,165.75,21.89,11144.00,307.84,142.85,25.39,59.37,17858.39,29537.84,2215338,1904,12.3847,7.2553,92.7447,1.5462,4.3780,3.9460
19,19:00-20:00,75,1569.36,2017.69,1522.88,195.16,24.93,13329.15,362.21,173.96,28.33,74.89,21194.60,35163.15,2637236,2125,12.7828,7.5586,92.4414,1.5517,5.2118,4.4040
20,20:00-21:00,75,1912.57,2329.35,1854.25,250.97,35.35,17258.84,474.81,224.95,41.47,95.72,27709.84,45805.63,3435422,3110,13.4111,8.1740,91.8260,1.7658,6.7891,6.4453
21,21:00-22:00,75,2126.21,2574.05,2060.19,287.41,34.64,20668.13,554.31,262.32,39.80,122.13,32905.07,54551.76,4091382,2985,13.9584,6.6973,93.3027,1.5489,8.0855,6.1863
22,22:00-23:00,75,2069.95,2600.93,2005.88,287.53,34.69,21011.17,565.32,264.28,40.36,127.32,33497.56,55506.01,4162951,3027,14.2827,6.4355,93.5645,1.5911,8.2269,6.2733
23,23:00-00:00,76,1532.95,2184.62,1489.70,214.99,22.07,16195.66,421.71,187.55,26.30,100.36,25731.01,42662.59,3242357,1999,14.3093,5.4441,94.5559,1.3396,6.4076,4.1428
